year,regcode,region,ip_reg,ip_liq,ip_reg_liq_diff,ul_reg,ul_liq,ul_reg_liq_diff
2012,01,Республика Адыгея (Адыгея),2272,3711,61.22,598,549,108.93
2013,01,Республика Адыгея (Адыгея),1766,4516,39.11,661,532,124.25
2014,01,Республика Адыгея (Адыгея),2171,2070,104.88,574,359,159.89
2015,01,Республика Адыгея (Адыгея),2246,2235,100.49,531,472,112.5
2016,01,Республика Адыгея (Адыгея),2275,2502,90.93,365,412,88.59
2017,01,Республика Адыгея (Адыгея),2444,2480,98.55,344,496,69.35
2018,01,Республика Адыгея (Адыгея),2764,2655,104.11,299,739,40.46
2019,01,Республика Адыгея (Адыгея),2413,2584,93.38,317,465,68.17
2012,02,Республика Башкортостан,15081,18694,80.67,7327,6098,120.15
2013,02,Республика Башкортостан,11488,26441,43.45,8293,5088,162.99
2014,02,Республика Башкортостан,14385,14870,96.74,7803,9862,79.12
2015,02,Республика Башкортостан,15282,15629,97.78,8099,6733,120.29
2016,02,Республика Башкортостан,16087,15306,105.1,8618,12077,71.36
2017,02,Республика Башкортостан,17541,16050,109.29,8268,14024,58.96
2018,02,Республика Башкортостан,19520,17906,109.01,7658,9196,83.28
2019,02,Республика Башкортостан,19217,19376,99.18,8435,10124,83.32
2012,03,Республика Бурятия,4097,7752,52.85,1882,1857,101.35
2013,03,Республика Бурятия,3419,8213,41.63,2068,1186,174.37
2014,03,Республика Бурятия,4413,4630,95.31,1876,876,214.16
2015,03,Республика Бурятия,3784,5046,74.99,1647,922,178.63
2016,03,Республика Бурятия,3924,4306,91.13,1507,2395,62.92
2017,03,Республика Бурятия,3904,3938,99.14,1436,1611,89.14
2018,03,Республика Бурятия,4318,4251,101.58,1533,1745,87.85
2019,03,Республика Бурятия,4510,5070,88.95,1578,1643,96.04
2012,04,Республика Алтай,1361,1956,69.58,573,1378,41.58
2013,04,Республика Алтай,939,2451,38.31,547,2322,23.56
2014,04,Республика Алтай,1125,1294,86.94,454,718,63.23
2015,04,Республика Алтай,1048,1310,80.0,480,620,77.42
2016,04,Республика Алтай,1035,1138,90.95,435,918,47.39
2017,04,Республика Алтай,1033,1211,85.3,460,741,62.08
2018,04,Республика Алтай,1185,1242,95.41,287,943,30.43
2019,04,Республика Алтай,1213,1356,89.45,320,795,40.25
2012,05,Республика Дагестан,4195,9376,44.74,1984,516,384.5
2013,05,Республика Дагестан,3563,9813,36.31,1611,1591,101.26
2014,05,Республика Дагестан,6407,6320,101.38,1578,1175,134.3
2015,05,Республика Дагестан,6683,8444,79.14,1852,1125,164.62
2016,05,Республика Дагестан,9338,8289,112.66,1938,1398,138.63
2017,05,Республика Дагестан,6873,9270,74.14,1904,4424,43.04
2018,05,Республика Дагестан,11218,9988,112.31,1570,3071,51.12
2019,05,Республика Дагестан,9384,9599,97.76,1569,1903,82.45
2012,06,Республика Ингушетия,1341,2233,60.05,610,586,104.1
2013,06,Республика Ингушетия,856,3086,27.74,702,220,319.09
2014,06,Республика Ингушетия,1560,1683,92.69,1219,351,347.29
2015,06,Республика Ингушетия,775,1541,50.29,452,421,107.36
2016,06,Республика Ингушетия,649,1340,48.43,408,789,51.71
2017,06,Республика Ингушетия,754,1058,71.27,606,709,85.47
2018,06,Республика Ингушетия,571,924,61.8,759,570,133.16
2019,06,Республика Ингушетия,664,806,82.38,554,300,184.67
2012,07,Кабардино-Балкарская Республика,3126,5134,60.89,868,665,130.53
2013,07,Кабардино-Балкарская Республика,2835,5835,48.59,746,901,82.8
2014,07,Кабардино-Балкарская Республика,2805,3222,87.06,732,797,91.84
2015,07,Кабардино-Балкарская Республика,2910,3560,81.74,684,594,115.15
2016,07,Кабардино-Балкарская Республика,3026,3997,75.71,983,924,106.39
2017,07,Кабардино-Балкарская Республика,3058,3804,80.39,869,836,103.95
2018,07,Кабардино-Балкарская Республика,3466,4298,80.64,739,1452,50.9
2019,07,Кабардино-Балкарская Республика,3174,4439,71.5,649,1125,57.69
2012,08,Республика Калмыкия,1081,2163,49.98,447,2439,18.33
2013,08,Республика Калмыкия,933,2363,39.48,432,3569,12.1
2014,08,Республика Калмыкия,1066,1188,89.73,343,1106,31.01
2015,08,Республика Калмыкия,1153,1244,92.68,326,359,90.81
2016,08,Республика Калмыкия,1278,1490,85.77,344,1317,26.12
2017,08,Республика Калмыкия,1356,1478,91.75,246,713,34.5
2018,08,Республика Калмыкия,1321,1390,95.04,194,388,50.0
